"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"GOLDEN CROSS[A]","0.705084829774023","0.0571694022747706","12.3332552330215","2.25702184501569e-07"
"Grand Chariot[A]","0.72354941399771","0.0623818947847761","11.5987085114043","4.01997163750993e-07"
"Gravigazer[A]","0.69002489682389","0.0365965343410056","18.8549246328698","3.8161523354078e-09"
"GRAVITON[A]","0.731780785798073","0.0390794688958062","18.7254537094439","4.08126156906114e-09"
"GRID KNIGHT[L]","0.639445698283624","0.0554081713637116","11.540638908405","4.21337984996558e-07"
"GuNGNiR[A]","0.933140149063099","0.0338038237542036","27.6045738449059","9.02269295673671e-11"
"GuNGNiR[L]","0.835057914894687","0.037870111069844","22.0505800301084","8.2484596885435e-10"
"HADES[A]","0.656610434627503","0.0582297767357425","11.2761970152715","5.23252045838346e-07"
"HAERETICUS[A]","0.844160263639231","0.0602471826860865","14.0116139212296","6.71890563138768e-08"
"HARD BRAIN[A]","0.912935942508898","0.0289546874732062","31.5298151069219","2.42081988233376e-11"
"hard-wired[A]","0.951365754203232","0.0292280015111732","32.5498051531011","1.76569714770119e-11"
"Hat Surprise (Season 2)[A]","0.764558633820031","0.0393500952872672","19.4296513957217","2.84709072511632e-09"
"Highcharge Divolt[A]","0.801317105390175","0.0410424993037104","19.5240815979677","2.71544585017154e-09"
"Hollywood Galaxy[A]","0.731313930684485","0.0491873313622472","14.8679326653975","3.80629703323081e-08"
"ICARUS[A]","0.557391993386329","0.0577868670659932","9.64565171442468","2.2102903739224e-06"
"ICARUS[L]","0.811155995655047","0.0541337578746228","14.9842912722545","3.53167213122489e-08"
"Idola[A]","0.868363268973493","0.0304588396604287","28.5094008391149","6.55959904325862e-11"
"Ignis†Irae[A]","0.840920751386936","0.0489846887251822","17.1670122495774","9.49988684690374e-09"
"Illegal Function Call[L]","0.894043502846049","0.0351193546627832","25.4572873400059","2.00676606874537e-10"
"Illusionary Waterlily[A]","0.810985402080054","0.0404474885451912","20.0503277520916","2.0939727615182e-09"
"IMPLANTATION[A]","0.593726188097949","0.0465285156614711","12.7604798832987","1.6358735325978e-07"
"Inferno of Fomalhaut[A]","0.705009197728061","0.0570331856671193","12.3613855596797","2.20902255182994e-07"
"Initiation[A]","0.907410788355615","0.0516430600630238","17.5708175938497","7.58084039412073e-09"
"innocent revolver[A]","0.924256492980961","0.0258657181745203","35.7328757216347","6.996671572913e-12"
"Innocent Walls[A]","0.543470372035654","0.0563758013623279","9.64013564158076","2.22183726615741e-06"
"Innocent Walls[H]","0.564204666924368","0.065266890829666","8.64457705510798","5.93586096520248e-06"
"INSOMNIA[A]","0.71028203559259","0.0759472776524008","9.35230409236581","2.92612070698324e-06"
"Invitation from Mr.C[A]","0.780184492455927","0.048812905107003","15.9831604110774","1.89681228654852e-08"
"invoker[A]","0.698027560296124","0.0459957526681848","15.1759134225224","3.1255473735978e-08"
"invoker[L]","0.699839564564973","0.0478668700669899","14.6205415893194","4.47130637978207e-08"
"IX[A]","0.839232177239862","0.0448956330640715","18.6929578661287","4.15093117059441e-09"
"I[A]","0.892882386013066","0.0395989805011022","22.5481154997971","6.62555720604627e-10"
"JOMANDA[A]","0.730660255499211","0.0662706589039741","11.0253959683415","6.45241939037664e-07"
"KAISER PHOENIX[A]","0.959435885041756","0.0254954020472494","37.6317221145868","4.18362352112948e-12"
"KAISER PHOENIX[L]","0.962208237448146","0.0121205573315564","79.3864680581145","2.45742239791729e-15"
"KAMAITACHI[L]","0.91454051743604","0.037409306950692","24.4468714333967","2.99112285559058e-10"
"KILL EACH OTHER[A]","0.90256436503309","0.02618860415212","34.4640118958011","1.00173564641267e-11"
"Konzert V[A]","0.831586777169955","0.0567176589756466","14.6618670831781","4.35188439639562e-08"
"kors k's How to make OTOGE CORE 「LONG」[A]","0.849155202195743","0.0473767875913602","17.9234440612558","6.24968248615034e-09"
"Kung-fu Empire[L]","0.859944880273309","0.0303692841513474","28.3162710055237","7.01562619585121e-11"
"L.F.O[A]","0.88703450812541","0.0351564106732835","25.2310884739863","2.1913579694585e-10"
"LASER CRUSTER (IGNITE REMIX)[A]","0.790522151472971","0.0572095518687575","13.8180098541321","7.67366867476986e-08"
"LASER CRUSTER[A]","0.784128167149455","0.0474070084571964","16.5403427186814","1.36201234079725e-08"
"Last Dance[A]","0.824615520864128","0.0425952359148523","19.3593368636937","2.94966523192923e-09"
"Lethal Weapon[A]","0.865614012770164","0.0459509910410469","18.8377659144921","3.85017497040307e-09"
"Level 2[A]","0.822240452377898","0.047435796597871","17.3337544923785","8.64949672994229e-09"
"Level 3[A]","0.759441546243749","0.0565773721331001","13.423061510477","1.01165422891301e-07"
"Level 4[A]","0.778865910669823","0.0570755458358834","13.6462279819346","8.64613681636684e-08"
"Level One[A]","0.87384286524026","0.0485635501536651","17.9938011631201","6.01606693817653e-09"
"Liberation[A]","0.749717636217958","0.0818114965885695","9.16396432628891","3.51698286229319e-06"
"Life Is A Game ft.DD\"ナカタ\"Metal[A]","0.848682921044577","0.0427026211411486","19.8742582624929","2.28253073984943e-09"
"LIGHTNING STRIKES[A]","0.989547818035661","0.0289838324813015","34.1413723900749","1.0997301018762e-11"
"Little Little Princess[L]","0.719264481405529","0.0605051833761903","11.8876506320708","3.19145907878834e-07"
"Little Star[A]","0.799540742100853","0.0525422419428312","15.2171036586295","3.04510725530565e-08"
"LIVE DRIVING!! feat. 花たん[A]","0.744785917739521","0.0698174942913053","10.6676116824243","8.76374507604361e-07"
"LOCUS OF THE TRAVEL[A]","0.888319064447254","0.041772076839553","21.2658582396872","1.17687520306485e-09"
"Lords Of The Roundtable[A]","0.799188267445801","0.0492347819219518","16.2321886326763","1.63367459629364e-08"
